地区,人口数,男女比例
北京,19612368,106.75
天津,12938693,114.52
河北,71854210,102.84
山西,35712101,105.56
内蒙古,24706291,108.17
辽宁,43746323,102.54
吉林,27452815,102.67
黑龙江,38313991,102.85
上海,23019196,106.19
江苏,78660941,101.52
浙江,54426891,105.69
安徽,59500468,103.39
福建,36894217,105.96
江西,44567797,106.67
青海,5626723,107.4
新疆,21815815,106.87
山东,95792719,102.33
河南,94029939,102.05
湖北,57237727,105.55
湖南,65700762,105.8
广东,104320459,108.98
广西,46023761,108.26
海南,8671485,112.58
重庆,28846170,102.61
四川,80417528,103.13
贵州,34748556,106.31
云南,45966766,107.9
西藏,3002165,105.7
陕西,37327379,106.92
甘肃,25575263,104.42
宁夏,6301350,104.99
		

